"distrito","cod_actividad","categoria","subcategoria","actividad","estado"
"EE",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2","Permitido"
"DSA AN2",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2","Permitido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2","Permitido"
"RN",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Cultural","Gran Escala > 1500 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"RM 2",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"RM 4",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Remitirse a Ficha de Distrito"
"CC6",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.",NULL
"EE",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.",NULL
"PI",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Permitido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas.","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas","Condicionado"
"FU",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas","Condicionado"
"NA",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas",NULL
"IUS",NULL,"Equipamientos y Servicios","Cultural","Ferias artesanales y gastronómicas",NULL
"RM 1",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"RM 2",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Condicionado"
"RM 3",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"RM 4",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Condicionado"
"CC 4",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Remitirse a Ficha de Distrito"
"CC6",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre",NULL
"EE",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre",NULL
"PI",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Condicionado"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"DSA AN1",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Condicionado"
"FU",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre","Condicionado"
"NA",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre",NULL
"IUS",NULL,"Equipamientos y Servicios","Cultural","Espectaculos al aire libre",NULL
"RM 1",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"RM 2",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"RM 3",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"RM 4",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Condicionado"
"CC 4",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Condicionado"
"CC 5",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"CC6",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas",NULL
"EE",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas",NULL
"PI",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Remitirse a Ficha de Distrito"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"DSA AN1",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas",NULL
"IUS",NULL,"Equipamientos y Servicios","Cultural","Con Actividades Incómodas",NULL
"RM 1",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Condicionado"
"RM 2",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Condicionado"
"RM 5",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Condicionado"
"CC 1",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Permitido"
"CC6",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Condicionado"
"AC 3",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Condicionado"
"AC 4",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Remitirse a Ficha de Distrito"
"FU",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2","Permitido"
"NA",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Religioso","Pequeña y Mediana Escala - 1500 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Condicionado"
"RM 2",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Condicionado"
"RM 4",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"CC6",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Religioso","Gran Escala > 1500 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"RM 2",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"RM 5",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"CC 1",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"CC 2",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"CC 3",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"CC6",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"AC 1",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"AC 2",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"AC 3",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"AC 4",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"PIU",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Permitido"
"DSA AN2",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Remitirse a Ficha de Distrito"
"RN",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Básicos y Generales","Pequeña Escala - 80 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"RM 2",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"RM 5",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"CC 1",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"CC 2",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"CC 3",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"CC6",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"AC 1",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"AC 2",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"AC 3",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"AC 4",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"PIU",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"DSA AN2",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Permitido"
"RN",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Básicos y Generales","Mediana Escala - 300 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Condicionado"
"RM 2",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Permitido"
"CC 2",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Permitido"
"CC6",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Permitido"
"AC 1",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"DSA AN1",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Básicos y Generales","Gran Escala > 300 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"RM 2",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"RM 5",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"CC 1",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"CC 2",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"CC 3",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"CC6",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"AC 1",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"AC 2",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"AC 3",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"AC 4",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
"PIU",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Remitirse a Ficha de Distrito"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Centrales","Pequeña Escala - 80 m2","Permitido"
